ticket,time,type,symbol,volume,price,profit,swap,commission
1211895662,2023-02-13 17:01:15,0,EURUSD,0.01,1.0705,-2.65,0.0,0.0
1211955019,2023-02-14 15:47:13,0,EURUSD,0.01,1.07658,0.46,0.0,0.0
1211955762,2023-02-14 15:50:21,0,NAS100,0.01,12540.38,-0.7,0.0,0.0
1211956010,2023-02-14 15:51:28,1,SPX500,0.01,4150.69,-0.2,0.0,0.0
1211956318,2023-02-14 15:52:57,0,NAS100,0.01,12511.63,-0.01,0.0,0.0
1263932278,2025-03-27 17:39:05,0,SPX500,0.01,5729.16,-2.61,0.0,0.0
1263934894,2025-03-27 17:43:18,1,SPX500,0.01,5730.47,0.04,0.0,0.0
1263939152,2025-03-27 17:53:40,0,SPX500,0.01,5731.55,-0.24,0.0,0.0
1263939348,2025-03-27 17:53:54,1,SPX500,0.01,5731.8,0.03,0.0,0.0
1263945830,2025-03-27 18:13:21,0,SPX500,0.01,5731.24,0.01,0.0,0.0
1263946383,2025-03-27 18:16:08,0,SPX500,0.01,5730.49,0.06,0.0,0.0
1263946797,2025-03-27 18:17:45,1,SPX500,0.01,5731.11,0.01,0.0,0.0
1263946872,2025-03-27 18:18:11,1,SPX500,0.01,5731.42,0.01,0.0,0.0
1263947218,2025-03-27 18:19:29,1,SPX500,0.01,5734.61,0.08,0.0,0.0
1263947506,2025-03-27 18:20:54,0,SPX500,0.01,5730.18,0.02,0.0,0.0
1263948158,2025-03-27 18:23:31,1,SPX500,0.01,5729.4800000000005,0.04,0.0,0.0
1263948364,2025-03-27 18:24:47,1,SPX500,0.01,5730.61,-0.02,0.0,0.0
1263948400,2025-03-27 18:24:58,0,SPX500,0.01,5731.05,-0.37,0.0,0.0
1263948830,2025-03-27 18:27:07,0,SPX500,0.01,5729.55,0.01,0.0,0.0
1263948948,2025-03-27 18:27:43,0,SPX500,0.01,5728.68,0.04,0.0,0.0
1263949145,2025-03-27 18:28:44,1,SPX500,0.01,5727.86,-0.41,0.0,0.0
1263949409,2025-03-27 18:29:48,1,SPX500,0.01,5724.86,-0.32,0.0,0.0
1263950247,2025-03-27 18:31:42,0,SPX500,0.01,5721.43,0.06,0.0,0.0
1263950424,2025-03-27 18:32:00,1,SPX500,0.01,5720.2300000000005,0.06,0.0,0.0
1264723400,2025-04-01 19:05:14,1,SPX500,0.01,5645.99,0.13,0.0,0.0
1264724878,2025-04-01 19:09:38,0,XAUUSD,0.01,3110.4500000000003,0.34,0.0,0.0
1264726680,2025-04-01 19:16:11,0,XAUUSD,0.01,3106.94,0.07,0.0,0.0
1264727596,2025-04-01 19:17:32,1,SPX500,0.01,5652.49,0.08,0.0,0.0
1264729255,2025-04-01 19:20:46,1,XAUUSD,0.01,3104.9500000000003,0.96,0.0,0.0
1264951561,2025-04-02 18:08:30,0,XAUUSD,0.01,3125.7400000000002,0.27,0.0,0.0
1265268789,2025-04-03 16:25:27,1,SPX500,0.01,5468.56,0.51,0.0,0.0
1265292383,2025-04-03 17:04:47,0,SPX500,0.01,5452.27,0.1,0.0,0.0
1265293174,2025-04-03 17:06:02,1,SPX500,0.01,5458.95,0.24,0.0,0.0
1265296568,2025-04-03 17:11:10,1,XAUUSD,0.01,3109.55,0.39,0.0,0.0
1265298137,2025-04-03 17:13:30,1,XAUUSD,0.01,3111.65,0.12,0.0,0.0
1265313201,2025-04-03 17:38:43,0,SPX500,0.01,5443.88,0.23,0.0,0.0
1265579998,2025-04-04 16:27:12,0,XAUUSD,0.01,3076.94,0.71,0.0,0.0
1265603568,2025-04-04 17:10:01,0,XAUUSD,0.01,3049.98,0.9,0.0,0.0
1265603981,2025-04-04 17:10:41,0,SPX500,0.01,5213.03,0.02,0.0,0.0
1265604467,2025-04-04 17:11:48,1,XAUUSD,0.01,3053.17,0.93,0.0,0.0
1265604844,2025-04-04 17:12:28,0,SPX500,0.01,5200.84,0.15,0.0,0.0
1265605132,2025-04-04 17:12:59,0,SPX500,0.01,5200.28,0.16,0.0,0.0
1265605364,2025-04-04 17:13:24,1,SPX500,0.01,5201.09,-0.02,0.0,0.0
1265605907,2025-04-04 17:14:12,1,SPX500,0.01,5203.09,0.13,0.0,0.0
1265606329,2025-04-04 17:14:47,0,SPX500,0.01,5201.28,0.04,0.0,0.0
1265606912,2025-04-04 17:15:20,1,SPX500,0.01,5195.71,-0.61,0.0,0.0
1265606933,2025-04-04 17:15:20,1,SPX500,0.01,5196.78,-4.38,0.0,0.0
1266003633,2025-04-07 15:26:30,1,BTCUSD,0.01,77287.73,2.94,0.0,0.0
